date, temp (C), RH (%), epoch time (s)
2018-04-10_121447,23.08,25.96,1523380487.8343213
2018-04-10_121457,23.10,25.92,1523380497.834335
2018-04-10_121507,23.06,25.92,1523380507.8343492
2018-04-10_121517,23.08,25.92,1523380517.8343632
2018-04-10_121527,23.10,25.92,1523380527.8343773
2018-04-10_121537,23.10,25.95,1523380537.834391
2018-04-10_121547,23.05,25.91,1523380547.8344052
2018-04-10_121557,23.10,25.88,1523380557.8344193
2018-04-10_121607,23.10,25.90,1523380567.834433
2018-04-10_121617,23.08,25.88,1523380577.8344471
2018-04-10_121627,23.10,25.87,1523380587.8344612
2018-04-10_121637,23.08,25.91,1523380597.834475
2018-04-10_121647,23.10,25.85,1523380607.834489
2018-04-10_121657,23.10,25.90,1523380617.8345032
2018-04-10_121707,23.10,25.88,1523380627.834517
2018-04-10_121717,23.10,25.84,1523380637.834531
2018-04-10_121727,23.10,25.87,1523380647.8345451
2018-04-10_121737,23.11,25.82,1523380657.834559
2018-04-10_121747,23.10,25.82,1523380667.834573
2018-04-10_121757,23.10,25.80,1523380677.834587
2018-04-10_121807,23.11,25.80,1523380687.8346012
2018-04-10_121817,23.12,25.81,1523380697.834615
2018-04-10_121827,23.11,25.82,1523380707.834629
2018-04-10_121837,23.08,25.80,1523380717.8346431
2018-04-10_121847,23.11,25.80,1523380727.834657
2018-04-10_121857,23.11,25.77,1523380737.834671
2018-04-10_121907,23.11,25.76,1523380747.834685
2018-04-10_121917,23.11,25.77,1523380757.834699
2018-04-10_121927,23.11,25.72,1523380767.834713
2018-04-10_121937,23.12,25.77,1523380777.834727
2018-04-10_121947,23.14,25.71,1523380787.8347409
2018-04-10_121957,23.14,25.71,1523380797.8347552
2018-04-10_122007,23.12,25.73,1523380807.8347692
2018-04-10_122017,23.14,25.69,1523380817.834783
2018-04-10_122027,23.15,25.69,1523380827.8347971
2018-04-10_122037,23.14,25.71,1523380837.8348112
2018-04-10_122047,23.12,25.70,1523380847.8348253
2018-04-10_122057,23.12,25.64,1523380857.834839
2018-04-10_122107,23.12,25.66,1523380867.8348532
2018-04-10_122117,23.14,25.64,1523380877.8348672
2018-04-10_122127,23.14,25.61,1523380887.834881
2018-04-10_122137,23.11,25.66,1523380897.8348951
2018-04-10_122147,23.12,25.60,1523380907.8349092
2018-04-10_122157,23.14,25.57,1523380917.834923
2018-04-10_122207,23.14,25.63,1523380927.834937
2018-04-10_122217,23.14,25.59,1523380937.8349512
2018-04-10_122227,23.12,25.60,1523380947.834965
2018-04-10_122237,23.14,25.57,1523380957.834979
2018-04-10_122247,23.15,25.57,1523380967.8349931
2018-04-10_122257,23.14,25.59,1523380977.835007
2018-04-10_122307,23.15,25.54,1523380987.835021
2018-04-10_122317,23.14,25.56,1523380997.835035
2018-04-10_122327,23.14,25.52,1523381007.8350492
2018-04-10_122337,23.15,25.53,1523381017.835063
2018-04-10_122347,23.15,25.50,1523381027.835077
2018-04-10_122357,23.17,25.48,1523381037.835091
2018-04-10_122407,23.17,25.49,1523381047.835105
2018-04-10_122417,23.15,25.42,1523381057.835119
2018-04-10_122427,23.15,25.43,1523381067.835133
2018-04-10_122437,23.17,25.43,1523381077.835147
2018-04-10_122447,23.19,25.43,1523381087.835161
2018-04-10_122457,23.15,25.45,1523381097.8351753
2018-04-10_122507,23.15,25.43,1523381107.835189
2018-04-10_122517,23.15,25.41,1523381117.8352032
2018-04-10_122527,23.15,25.42,1523381127.8352172
2018-04-10_122537,23.17,25.42,1523381137.835231
2018-04-10_122547,23.17,25.35,1523381147.8352451
2018-04-10_122557,23.18,25.39,1523381157.8352592
2018-04-10_122607,23.17,25.36,1523381167.8352733
2018-04-10_122617,23.18,25.36,1523381177.835287
2018-04-10_122627,23.18,25.36,1523381187.8353012
2018-04-10_122637,23.18,25.35,1523381197.8353152
2018-04-10_122647,23.18,25.35,1523381207.835329
2018-04-10_122657,23.18,25.36,1523381217.8353431
2018-04-10_122707,23.19,25.36,1523381227.8353572
2018-04-10_122717,23.18,25.32,1523381237.835371
2018-04-10_122727,23.18,25.32,1523381247.835385
2018-04-10_122737,23.17,25.30,1523381257.8353992
2018-04-10_122747,23.18,25.27,1523381267.835413
2018-04-10_122757,23.19,25.31,1523381277.835427
